	img_name	gender	smiling
123	123.jpg	-1	-1
124	124.jpg	1	1
125	125.jpg	-1	1
126	126.jpg	1	1
127	127.jpg	-1	-1
128	128.jpg	1	1
129	129.jpg	1	1
130	130.jpg	-1	1
131	131.jpg	-1	1
132	132.jpg	-1	1
133	133.jpg	1	1
134	134.jpg	1	1
135	135.jpg	1	-1
136	136.jpg	1	1
137	137.jpg	1	1
138	138.jpg	-1	1
139	139.jpg	-1	-1
140	140.jpg	-1	-1
141	141.jpg	-1	-1
142	142.jpg	1	1
143	143.jpg	1	-1
144	144.jpg	-1	1
145	145.jpg	-1	1
146	146.jpg	-1	-1
147	147.jpg	-1	-1
148	148.jpg	-1	1
149	149.jpg	1	-1
150	150.jpg	-1	1
151	151.jpg	1	1
152	152.jpg	1	1
153	153.jpg	1	-1
154	154.jpg	-1	1
155	155.jpg	-1	1
156	156.jpg	-1	-1
157	157.jpg	1	-1
158	158.jpg	-1	-1
159	159.jpg	1	-1
160	160.jpg	-1	1
161	161.jpg	-1	-1
162	162.jpg	-1	-1
163	163.jpg	1	-1
164	164.jpg	-1	-1
165	165.jpg	1	-1
166	166.jpg	-1	-1
167	167.jpg	-1	1
168	168.jpg	1	-1
169	169.jpg	-1	1
170	170.jpg	1	-1
171	171.jpg	-1	1
172	172.jpg	-1	1
173	173.jpg	-1	1
174	174.jpg	-1	1
175	175.jpg	-1	1
176	176.jpg	-1	-1
177	177.jpg	-1	1
178	178.jpg	-1	1
179	179.jpg	-1	1
180	180.jpg	1	1
181	181.jpg	1	-1
182	182.jpg	-1	1
183	183.jpg	-1	-1
184	184.jpg	-1	-1
185	185.jpg	-1	1
186	186.jpg	1	1
187	187.jpg	1	-1
188	188.jpg	-1	1
189	189.jpg	-1	-1
190	190.jpg	-1	1
191	191.jpg	-1	1
192	192.jpg	1	-1
193	193.jpg	1	1
194	194.jpg	1	1
195	195.jpg	1	1
196	196.jpg	1	1
197	197.jpg	-1	-1
198	198.jpg	1	-1
199	199.jpg	1	-1
200	200.jpg	-1	-1
201	201.jpg	1	-1
202	202.jpg	1	-1
203	203.jpg	-1	1
204	204.jpg	1	-1
205	205.jpg	1	1
206	206.jpg	-1	-1
207	207.jpg	-1	1
208	208.jpg	1	1
209	209.jpg	1	-1
210	210.jpg	-1	-1
211	211.jpg	1	-1
212	212.jpg	1	-1
213	213.jpg	1	1
214	214.jpg	1	-1
215	215.jpg	-1	-1
216	216.jpg	-1	1
217	217.jpg	-1	1
218	218.jpg	-1	-1
219	219.jpg	1	-1
220	220.jpg	1	-1
221	221.jpg	-1	1
222	222.jpg	1	1
223	223.jpg	1	-1
224	224.jpg	-1	1
225	225.jpg	1	1
226	226.jpg	1	-1
227	227.jpg	-1	1
228	228.jpg	1	-1
229	229.jpg	1	1
230	230.jpg	-1	-1
231	231.jpg	-1	1
232	232.jpg	-1	-1
233	233.jpg	1	-1
234	234.jpg	1	-1
235	235.jpg	-1	-1
236	236.jpg	1	-1
237	237.jpg	-1	-1
238	238.jpg	-1	1
239	239.jpg	-1	-1
240	240.jpg	-1	1
241	241.jpg	1	-1
242	242.jpg	-1	-1
243	243.jpg	1	-1
244	244.jpg	1	1
245	245.jpg	-1	-1
246	246.jpg	-1	1
247	247.jpg	1	-1
248	248.jpg	-1	1
249	249.jpg	1	-1
250	250.jpg	-1	-1
251	251.jpg	-1	1
252	252.jpg	1	-1
253	253.jpg	-1	1
254	254.jpg	1	-1
255	255.jpg	-1	1
256	256.jpg	-1	-1
257	257.jpg	-1	-1
258	258.jpg	-1	1
259	259.jpg	-1	-1
260	260.jpg	1	-1
261	261.jpg	-1	1
262	262.jpg	-1	-1
263	263.jpg	1	-1
264	264.jpg	1	-1
265	265.jpg	1	-1
266	266.jpg	-1	-1
267	267.jpg	-1	-1
268	268.jpg	-1	1
269	269.jpg	-1	1
270	270.jpg	-1	1
271	271.jpg	1	1
272	272.jpg	-1	1
273	273.jpg	1	1
274	274.jpg	-1	-1
275	275.jpg	1	1
276	276.jpg	1	1
277	277.jpg	-1	1
278	278.jpg	-1	-1
279	279.jpg	-1	1
280	280.jpg	-1	-1
281	281.jpg	1	1
282	282.jpg	1	-1
283	283.jpg	1	1
284	284.jpg	-1	-1
285	285.jpg	1	1
286	286.jpg	-1	-1
287	287.jpg	-1	-1
288	288.jpg	-1	-1
289	289.jpg	-1	-1
290	290.jpg	-1	-1
291	291.jpg	-1	-1
292	292.jpg	1	-1
293	293.jpg	1	-1
294	294.jpg	1	1
295	295.jpg	-1	1
296	296.jpg	1	-1
297	297.jpg	1	1
298	298.jpg	1	1
299	299.jpg	1	1
300	300.jpg	-1	1
301	301.jpg	-1	1
302	302.jpg	-1	-1
303	303.jpg	-1	-1
304	304.jpg	-1	-1
305	305.jpg	1	-1
306	306.jpg	1	1
307	307.jpg	-1	-1
308	308.jpg	-1	1
309	309.jpg	1	-1
310	310.jpg	1	-1
311	311.jpg	-1	1
312	312.jpg	1	1
313	313.jpg	1	-1
314	314.jpg	-1	-1
315	315.jpg	1	1
316	316.jpg	-1	1
317	317.jpg	1	1
318	318.jpg	-1	-1
319	319.jpg	1	-1
320	320.jpg	1	-1
321	321.jpg	-1	1
322	322.jpg	-1	-1
323	323.jpg	1	1
324	324.jpg	-1	1
325	325.jpg	-1	-1
326	326.jpg	-1	1
327	327.jpg	-1	1
328	328.jpg	1	-1
329	329.jpg	1	1
330	330.jpg	1	-1
331	331.jpg	-1	-1
332	332.jpg	1	-1
333	333.jpg	-1	1
334	334.jpg	1	-1
335	335.jpg	1	1
336	336.jpg	-1	-1
337	337.jpg	-1	-1
338	338.jpg	1	-1
339	339.jpg	1	1
340	340.jpg	-1	1
341	341.jpg	-1	-1
342	342.jpg	-1	-1
343	343.jpg	-1	-1
344	344.jpg	-1	-1
345	345.jpg	1	-1
346	346.jpg	-1	-1
347	347.jpg	-1	-1
348	348.jpg	-1	1
349	349.jpg	1	-1
350	350.jpg	-1	-1
351	351.jpg	1	1
352	352.jpg	-1	1
353	353.jpg	-1	1
354	354.jpg	1	-1
355	355.jpg	-1	-1
356	356.jpg	-1	1
357	357.jpg	1	1
358	358.jpg	-1	1
359	359.jpg	1	-1
360	360.jpg	-1	-1
361	361.jpg	1	-1
362	362.jpg	1	-1
363	363.jpg	-1	1
364	364.jpg	-1	1
365	365.jpg	1	1
366	366.jpg	1	-1
367	367.jpg	1	1
368	368.jpg	-1	1
369	369.jpg	1	-1
370	370.jpg	-1	-1
371	371.jpg	-1	1
372	372.jpg	-1	-1
373	373.jpg	-1	-1
374	374.jpg	-1	1
375	375.jpg	1	-1
376	376.jpg	1	-1
377	377.jpg	1	1
378	378.jpg	-1	-1
379	379.jpg	1	1
380	380.jpg	-1	1
381	381.jpg	-1	1
382	382.jpg	1	-1
383	383.jpg	-1	1
384	384.jpg	1	1
385	385.jpg	1	1
386	386.jpg	-1	1
387	387.jpg	-1	1
388	388.jpg	1	-1
389	389.jpg	1	-1
390	390.jpg	-1	1
391	391.jpg	-1	-1
392	392.jpg	1	1
393	393.jpg	-1	1
394	394.jpg	-1	-1
395	395.jpg	-1	1
396	396.jpg	-1	-1
397	397.jpg	1	-1
398	398.jpg	-1	-1
399	399.jpg	1	-1
400	400.jpg	1	-1
401	401.jpg	1	-1
402	402.jpg	1	-1
403	403.jpg	-1	1
404	404.jpg	1	-1
405	405.jpg	1	1
406	406.jpg	-1	1
407	407.jpg	1	-1
408	408.jpg	1	-1
409	409.jpg	-1	1
410	410.jpg	-1	1
411	411.jpg	-1	1
412	412.jpg	1	1
413	413.jpg	1	1
414	414.jpg	-1	-1
415	415.jpg	1	1
416	416.jpg	1	-1
417	417.jpg	1	-1
418	418.jpg	-1	1
419	419.jpg	-1	1
420	420.jpg	-1	-1
421	421.jpg	-1	1
422	422.jpg	-1	-1
423	423.jpg	-1	1
424	424.jpg	1	1
425	425.jpg	-1	1
426	426.jpg	1	-1
427	427.jpg	1	1
428	428.jpg	1	-1
429	429.jpg	1	1
430	430.jpg	-1	1
431	431.jpg	-1	-1
432	432.jpg	1	1
433	433.jpg	1	-1
434	434.jpg	-1	1
435	435.jpg	-1	1
436	436.jpg	1	1
437	437.jpg	1	-1
438	438.jpg	1	1
439	439.jpg	1	1
440	440.jpg	-1	1
441	441.jpg	-1	-1
442	442.jpg	1	-1
443	443.jpg	1	1
444	444.jpg	-1	-1
445	445.jpg	-1	1
446	446.jpg	1	-1
447	447.jpg	1	1
448	448.jpg	1	-1
449	449.jpg	1	-1
450	450.jpg	-1	-1
451	451.jpg	1	1
452	452.jpg	1	-1
453	453.jpg	-1	1
454	454.jpg	-1	1
455	455.jpg	1	1
456	456.jpg	-1	1
457	457.jpg	-1	1
458	458.jpg	1	-1
459	459.jpg	1	-1
460	460.jpg	1	-1
461	461.jpg	-1	1
462	462.jpg	-1	-1
463	463.jpg	-1	-1
464	464.jpg	1	-1
465	465.jpg	-1	-1
466	466.jpg	-1	1
467	467.jpg	-1	-1
468	468.jpg	-1	-1
469	469.jpg	-1	-1
470	470.jpg	-1	1
471	471.jpg	-1	1
472	472.jpg	1	-1
473	473.jpg	1	-1
474	474.jpg	-1	1
475	475.jpg	-1	1
476	476.jpg	1	1
477	477.jpg	-1	-1
478	478.jpg	1	-1
479	479.jpg	-1	-1
480	480.jpg	1	-1
481	481.jpg	1	-1
482	482.jpg	-1	1
483	483.jpg	-1	1
484	484.jpg	-1	1
485	485.jpg	1	1
486	486.jpg	-1	1
487	487.jpg	-1	-1
488	488.jpg	-1	1
489	489.jpg	1	-1
490	490.jpg	-1	-1
491	491.jpg	-1	1
492	492.jpg	-1	1
493	493.jpg	-1	-1
494	494.jpg	-1	1
495	495.jpg	-1	1
496	496.jpg	-1	1
497	497.jpg	1	1
498	498.jpg	-1	-1
499	499.jpg	1	-1
500	500.jpg	1	1
501	501.jpg	-1	-1
502	502.jpg	-1	-1
503	503.jpg	-1	1
504	504.jpg	-1	1
505	505.jpg	-1	1
506	506.jpg	-1	-1
507	507.jpg	-1	1
508	508.jpg	-1	1
509	509.jpg	-1	1
510	510.jpg	1	-1
511	511.jpg	1	-1
512	512.jpg	-1	1
513	513.jpg	-1	1
514	514.jpg	1	1
515	515.jpg	-1	-1
516	516.jpg	-1	1
517	517.jpg	1	1
518	518.jpg	-1	1
519	519.jpg	1	-1
520	520.jpg	1	1
521	521.jpg	-1	1
522	522.jpg	-1	1
523	523.jpg	-1	1
524	524.jpg	-1	1
525	525.jpg	1	1
526	526.jpg	-1	-1
527	527.jpg	-1	1
528	528.jpg	1	-1
529	529.jpg	-1	-1
530	530.jpg	-1	1
531	531.jpg	-1	-1
532	532.jpg	-1	-1
533	533.jpg	1	1
534	534.jpg	1	1
535	535.jpg	1	-1
536	536.jpg	1	-1
537	537.jpg	-1	1
538	538.jpg	-1	-1
539	539.jpg	-1	1
540	540.jpg	-1	-1
541	541.jpg	1	-1
542	542.jpg	1	-1
543	543.jpg	-1	-1
544	544.jpg	1	-1
545	545.jpg	1	-1
546	546.jpg	-1	-1
547	547.jpg	-1	-1
548	548.jpg	-1	-1
549	549.jpg	-1	-1
550	550.jpg	-1	1
551	551.jpg	1	-1
552	552.jpg	-1	1
553	553.jpg	-1	1
554	554.jpg	1	1
555	555.jpg	-1	1
556	556.jpg	-1	-1
557	557.jpg	1	1
558	558.jpg	1	-1
559	559.jpg	1	-1
560	560.jpg	1	1
561	561.jpg	-1	-1
562	562.jpg	1	1
563	563.jpg	1	-1
564	564.jpg	-1	1
565	565.jpg	-1	1
566	566.jpg	-1	1
567	567.jpg	-1	1
568	568.jpg	1	1
569	569.jpg	-1	-1
570	570.jpg	1	-1
571	571.jpg	1	1
572	572.jpg	1	-1
573	573.jpg	-1	1
574	574.jpg	1	1
575	575.jpg	-1	-1
576	576.jpg	1	-1
577	577.jpg	1	-1
578	578.jpg	-1	1
579	579.jpg	-1	-1
580	580.jpg	1	-1
581	581.jpg	-1	1
582	582.jpg	1	1
583	583.jpg	1	-1
584	584.jpg	1	-1
585	585.jpg	1	1
586	586.jpg	1	1
587	587.jpg	-1	1
588	588.jpg	-1	1
589	589.jpg	1	-1
590	590.jpg	1	-1
591	591.jpg	1	1
592	592.jpg	1	1
593	593.jpg	-1	-1
594	594.jpg	-1	1
595	595.jpg	1	-1
596	596.jpg	-1	-1
597	597.jpg	-1	-1
598	598.jpg	-1	1
599	599.jpg	-1	-1
600	600.jpg	-1	-1
601	601.jpg	-1	1
602	602.jpg	1	-1
603	603.jpg	1	1
604	604.jpg	-1	1
605	605.jpg	-1	-1
606	606.jpg	-1	-1
607	607.jpg	1	1
608	608.jpg	-1	-1
609	609.jpg	-1	1
610	610.jpg	-1	-1
611	611.jpg	-1	-1
612	612.jpg	-1	1
613	613.jpg	-1	-1
614	614.jpg	-1	-1
615	615.jpg	-1	1
616	616.jpg	1	1
617	617.jpg	-1	1
618	618.jpg	1	-1
619	619.jpg	1	1
620	620.jpg	-1	1
621	621.jpg	1	-1
622	622.jpg	1	1
623	623.jpg	1	-1
624	624.jpg	1	1
625	625.jpg	-1	-1
626	626.jpg	-1	-1
627	627.jpg	1	1
628	628.jpg	1	1
629	629.jpg	1	1
630	630.jpg	-1	1
631	631.jpg	-1	1
632	632.jpg	-1	1
633	633.jpg	-1	1
634	634.jpg	-1	1
635	635.jpg	1	1
636	636.jpg	1	-1
637	637.jpg	-1	1
638	638.jpg	1	-1
639	639.jpg	-1	1
640	640.jpg	-1	1
641	641.jpg	-1	1
642	642.jpg	-1	1
643	643.jpg	-1	-1
644	644.jpg	-1	1
645	645.jpg	-1	1
646	646.jpg	-1	1
647	647.jpg	-1	1
648	648.jpg	1	-1
649	649.jpg	-1	1
650	650.jpg	1	-1
651	651.jpg	1	-1
652	652.jpg	-1	-1
653	653.jpg	1	1
654	654.jpg	1	-1
655	655.jpg	-1	-1
656	656.jpg	1	1
657	657.jpg	-1	-1
658	658.jpg	1	1
659	659.jpg	1	1
660	660.jpg	1	1
661	661.jpg	1	-1
662	662.jpg	-1	1
663	663.jpg	-1	-1
664	664.jpg	-1	-1
665	665.jpg	-1	1
666	666.jpg	-1	1
667	667.jpg	-1	1
668	668.jpg	-1	-1
669	669.jpg	1	1
670	670.jpg	1	-1
671	671.jpg	1	-1
672	672.jpg	-1	-1
673	673.jpg	1	-1
674	674.jpg	1	-1
675	675.jpg	-1	1
676	676.jpg	1	-1
677	677.jpg	-1	1
678	678.jpg	-1	-1
679	679.jpg	-1	-1
680	680.jpg	1	1
681	681.jpg	1	-1
682	682.jpg	1	-1
683	683.jpg	1	-1
684	684.jpg	1	-1
685	685.jpg	1	1
686	686.jpg	1	-1
687	687.jpg	1	1
688	688.jpg	1	1
689	689.jpg	1	1
690	690.jpg	-1	-1
691	691.jpg	-1	-1
692	692.jpg	-1	1
693	693.jpg	-1	1
694	694.jpg	1	-1
695	695.jpg	1	1
696	696.jpg	1	1
697	697.jpg	-1	1
698	698.jpg	-1	1
699	699.jpg	1	-1
700	700.jpg	-1	1
701	701.jpg	-1	1
702	702.jpg	-1	1
703	703.jpg	-1	1
704	704.jpg	1	-1
705	705.jpg	1	-1
706	706.jpg	-1	1
707	707.jpg	-1	-1
708	708.jpg	-1	1
709	709.jpg	1	1
710	710.jpg	-1	-1
711	711.jpg	1	1
712	712.jpg	1	1
713	713.jpg	1	-1
714	714.jpg	-1	-1
715	715.jpg	-1	1
716	716.jpg	-1	-1
717	717.jpg	-1	1
718	718.jpg	-1	1
719	719.jpg	1	-1
720	720.jpg	-1	1
721	721.jpg	-1	1
722	722.jpg	1	-1
723	723.jpg	1	-1
724	724.jpg	-1	1
725	725.jpg	-1	1
726	726.jpg	-1	1
727	727.jpg	1	-1
728	728.jpg	1	-1
729	729.jpg	1	-1
730	730.jpg	1	-1
731	731.jpg	1	-1
732	732.jpg	1	-1
733	733.jpg	-1	-1
734	734.jpg	1	1
735	735.jpg	-1	1
736	736.jpg	-1	1
737	737.jpg	-1	-1
738	738.jpg	1	1
739	739.jpg	-1	1
740	740.jpg	-1	-1
741	741.jpg	-1	-1
742	742.jpg	-1	1
743	743.jpg	1	1
744	744.jpg	1	-1
745	745.jpg	-1	-1
746	746.jpg	1	-1
747	747.jpg	-1	-1
748	748.jpg	-1	-1
749	749.jpg	-1	1
750	750.jpg	-1	-1
751	751.jpg	-1	1
752	752.jpg	1	1
753	753.jpg	-1	1
754	754.jpg	1	-1
755	755.jpg	1	1
756	756.jpg	1	-1
757	757.jpg	-1	-1
758	758.jpg	-1	1
759	759.jpg	-1	-1
760	760.jpg	-1	1
761	761.jpg	-1	1
762	762.jpg	-1	1
763	763.jpg	-1	1
764	764.jpg	-1	-1
765	765.jpg	-1	-1
766	766.jpg	-1	1
767	767.jpg	1	-1
768	768.jpg	-1	-1
769	769.jpg	-1	-1
770	770.jpg	1	1
771	771.jpg	-1	-1
772	772.jpg	1	-1
773	773.jpg	-1	-1
774	774.jpg	1	1
775	775.jpg	-1	1
776	776.jpg	-1	-1
777	777.jpg	1	-1
778	778.jpg	1	1
779	779.jpg	1	1
780	780.jpg	-1	-1
781	781.jpg	-1	-1
782	782.jpg	-1	-1
783	783.jpg	1	1
784	784.jpg	-1	1
785	785.jpg	-1	1
786	786.jpg	-1	1
787	787.jpg	1	1
788	788.jpg	1	-1
789	789.jpg	1	1
790	790.jpg	1	1
791	791.jpg	-1	-1
792	792.jpg	-1	-1
793	793.jpg	-1	1
794	794.jpg	-1	1
795	795.jpg	-1	1
796	796.jpg	1	1
797	797.jpg	1	1
798	798.jpg	-1	1
799	799.jpg	-1	1
800	800.jpg	1	-1
801	801.jpg	-1	1
802	802.jpg	1	-1
803	803.jpg	-1	1
804	804.jpg	-1	-1
805	805.jpg	-1	1
806	806.jpg	-1	-1
807	807.jpg	1	-1
808	808.jpg	-1	-1
809	809.jpg	-1	1
810	810.jpg	-1	1
811	811.jpg	-1	-1
812	812.jpg	1	-1
813	813.jpg	-1	1
814	814.jpg	1	-1
815	815.jpg	1	1
816	816.jpg	-1	1
817	817.jpg	1	1
818	818.jpg	-1	1
819	819.jpg	-1	1
820	820.jpg	-1	-1
821	821.jpg	-1	1
822	822.jpg	-1	1
823	823.jpg	-1	1
824	824.jpg	1	1
825	825.jpg	1	-1
826	826.jpg	-1	-1
827	827.jpg	-1	-1
828	828.jpg	1	1
829	829.jpg	1	-1
830	830.jpg	-1	1
831	831.jpg	-1	-1
832	832.jpg	1	-1
833	833.jpg	-1	1
834	834.jpg	-1	1
835	835.jpg	1	1
836	836.jpg	-1	1
837	837.jpg	1	1
838	838.jpg	-1	1
839	839.jpg	-1	1
840	840.jpg	1	-1
841	841.jpg	1	-1
842	842.jpg	1	-1
843	843.jpg	1	1
844	844.jpg	1	-1
845	845.jpg	1	-1
846	846.jpg	-1	1
847	847.jpg	1	-1
848	848.jpg	-1	1
849	849.jpg	1	1
850	850.jpg	1	1
851	851.jpg	-1	-1
852	852.jpg	1	-1
853	853.jpg	-1	1
854	854.jpg	1	-1
855	855.jpg	-1	1
856	856.jpg	-1	1
857	857.jpg	1	-1
858	858.jpg	1	-1
859	859.jpg	1	-1
860	860.jpg	1	-1
861	861.jpg	-1	-1
862	862.jpg	-1	-1
863	863.jpg	-1	1
864	864.jpg	-1	1
865	865.jpg	-1	-1
866	866.jpg	-1	-1
867	867.jpg	-1	-1
868	868.jpg	-1	1
869	869.jpg	-1	-1
870	870.jpg	-1	-1
871	871.jpg	-1	1
872	872.jpg	1	-1
873	873.jpg	-1	1
874	874.jpg	1	1
875	875.jpg	-1	1
876	876.jpg	-1	1
877	877.jpg	-1	-1
878	878.jpg	1	1
879	879.jpg	-1	1
880	880.jpg	1	-1
881	881.jpg	-1	-1
882	882.jpg	-1	1
883	883.jpg	-1	1
884	884.jpg	1	-1
885	885.jpg	1	1
886	886.jpg	-1	1
887	887.jpg	1	-1
888	888.jpg	1	-1
889	889.jpg	-1	-1
890	890.jpg	-1	-1
891	891.jpg	1	1
892	892.jpg	-1	1
893	893.jpg	-1	1
894	894.jpg	-1	1
895	895.jpg	-1	1
896	896.jpg	-1	-1
897	897.jpg	1	1
898	898.jpg	-1	1
899	899.jpg	-1	1
900	900.jpg	-1	-1
901	901.jpg	1	1
902	902.jpg	1	-1
903	903.jpg	1	-1
904	904.jpg	1	-1
905	905.jpg	1	-1
906	906.jpg	1	1
907	907.jpg	1	-1
908	908.jpg	-1	-1
909	909.jpg	-1	1
910	910.jpg	1	1
911	911.jpg	-1	1
912	912.jpg	1	-1
913	913.jpg	-1	1
914	914.jpg	1	-1
915	915.jpg	-1	1
916	916.jpg	-1	-1
917	917.jpg	-1	-1
918	918.jpg	-1	1
919	919.jpg	-1	-1
920	920.jpg	-1	-1
921	921.jpg	-1	1
922	922.jpg	1	-1
923	923.jpg	-1	1
924	924.jpg	-1	-1
925	925.jpg	1	-1
926	926.jpg	-1	1
927	927.jpg	1	-1
928	928.jpg	-1	1
929	929.jpg	1	1
930	930.jpg	1	1
931	931.jpg	-1	-1
932	932.jpg	1	-1
933	933.jpg	-1	-1
934	934.jpg	1	1
935	935.jpg	-1	1
936	936.jpg	-1	1
937	937.jpg	1	-1
938	938.jpg	-1	-1
939	939.jpg	-1	1
940	940.jpg	-1	-1
941	941.jpg	-1	1
942	942.jpg	-1	1
943	943.jpg	1	1
944	944.jpg	-1	-1
945	945.jpg	1	1
946	946.jpg	-1	1
947	947.jpg	-1	1
948	948.jpg	-1	-1
949	949.jpg	-1	-1
950	950.jpg	1	1
951	951.jpg	-1	1
952	952.jpg	1	-1
953	953.jpg	1	1
954	954.jpg	-1	1
955	955.jpg	-1	1
956	956.jpg	1	-1
957	957.jpg	1	-1
958	958.jpg	1	1
959	959.jpg	1	1
960	960.jpg	-1	1
961	961.jpg	1	-1
962	962.jpg	-1	1
963	963.jpg	1	-1
964	964.jpg	-1	-1
965	965.jpg	1	1
966	966.jpg	-1	1
967	967.jpg	-1	1
968	968.jpg	1	-1
969	969.jpg	-1	1
970	970.jpg	1	1
971	971.jpg	1	1
972	972.jpg	1	1
973	973.jpg	-1	1
974	974.jpg	1	-1
975	975.jpg	-1	-1
976	976.jpg	1	-1
977	977.jpg	1	-1
978	978.jpg	1	-1
979	979.jpg	-1	-1
980	980.jpg	-1	1
981	981.jpg	-1	1
982	982.jpg	1	-1
983	983.jpg	-1	1
984	984.jpg	-1	-1
985	985.jpg	-1	1
986	986.jpg	1	-1
987	987.jpg	-1	1
988	988.jpg	-1	-1
989	989.jpg	1	-1
990	990.jpg	-1	1
991	991.jpg	1	-1
992	992.jpg	1	1
993	993.jpg	1	-1
994	994.jpg	-1	-1
995	995.jpg	-1	1
996	996.jpg	-1	-1
997	997.jpg	-1	-1
998	998.jpg	1	-1
999	999.jpg	-1	1
1000	1000.jpg	-1	1
1001	1001.jpg	-1	1
1002	1002.jpg	-1	-1
1003	1003.jpg	-1	1
1004	1004.jpg	-1	-1
1005	1005.jpg	1	1
1006	1006.jpg	-1	1
1007	1007.jpg	1	-1
1008	1008.jpg	-1	1
1009	1009.jpg	-1	1
1010	1010.jpg	-1	1
1011	1011.jpg	-1	-1
1012	1012.jpg	-1	1
1013	1013.jpg	-1	1
1014	1014.jpg	-1	1
1015	1015.jpg	-1	1
1016	1016.jpg	-1	-1
1017	1017.jpg	-1	-1
1018	1018.jpg	-1	1
1019	1019.jpg	1	1
1020	1020.jpg	-1	-1
1021	1021.jpg	1	-1
1022	1022.jpg	-1	1
1023	1023.jpg	-1	-1
1024	1024.jpg	-1	1
1025	1025.jpg	-1	1
1026	1026.jpg	1	-1
1027	1027.jpg	-1	-1
1028	1028.jpg	-1	1
1029	1029.jpg	1	-1
1030	1030.jpg	-1	1
1031	1031.jpg	1	-1
1032	1032.jpg	1	1
1033	1033.jpg	-1	1
1034	1034.jpg	1	-1
1035	1035.jpg	1	-1
1036	1036.jpg	-1	-1
1037	1037.jpg	1	-1
1038	1038.jpg	-1	1
1039	1039.jpg	-1	1
1040	1040.jpg	-1	-1
1041	1041.jpg	-1	-1
1042	1042.jpg	-1	-1
1043	1043.jpg	1	-1
1044	1044.jpg	-1	1
1045	1045.jpg	-1	-1
1046	1046.jpg	1	-1
1047	1047.jpg	1	1
1048	1048.jpg	-1	1
1049	1049.jpg	-1	1
1050	1050.jpg	1	-1
1051	1051.jpg	1	-1
1052	1052.jpg	1	-1
1053	1053.jpg	-1	-1
1054	1054.jpg	1	-1
1055	1055.jpg	-1	1
1056	1056.jpg	1	-1
1057	1057.jpg	-1	1
1058	1058.jpg	1	1
1059	1059.jpg	-1	1
